2019-05-12,FRAGILE PRIDE THE CRUSHED SPIRIT AND POWERFUL HUMILITY,Proverbs 18:12;14
2019-05-19,GOAL AND SEQUENCE,Proverbs 18:16-22
2019-05-26,TO BE AROUND A FOOL OR A WISEMAN,Proverbs 19:1-8
2019-06-02,When you're offended ,Proverbs 19:11-13;19;23
2019-06-09,How long is your love ,Proverbs 20:6;25;28
2019-06-16,WHEN YOU MOVE ON TO THE NEXT IMPORTANT THING,Proverbs 20:22
2019-06-23,BODY THE TRIGGER POINT OF THE HEART,Proverbs 20:30
2019-06-30,HOW TO LEAD A VICTORIOUS LIFE BEFORE THE LORD,Proverbs 20:18;30-31
2019-07-07,Good life defined before the lord ,Proverbs 22:1-4
2019-07-14,Richard Ma's testimoney sharing ,
,Minku Kang's testimony sharing ,
2019-07-21,NCM Report,
2019-07-28,DISCIPLINED CHILD DISCIPLINED ADULT,Proverbs 22:6;8;13;15
2019-08-04,Guest or stranger in this world? ,Proverbs 23:4-9;15-17
2019-08-11,Power of wisdom ,Proverbs 24:3-7;10;12
2019-08-18,THE SWEET UPRIGHTNESS OF THE WISE,Proverbs 24:13-22
2019-08-25,Fear of God the foundation of a wise life,Proverbs 24:23-34
2019-09-01,A Kingly Life,Proverbs 25:1-7
2019-09-08,My Communication Traits,Proverbs 25:15-28
2019-09-15,How to Coexist with Fools Wisely,Proverbs 26:1-12
2019-09-23,Rules of Engagement,Proverbs 26:17; 20-21
2019-09-29,About Boasting,Proverbs 27:1-2; 21
2019-10-06,A Few Lessons on Relationships,Proverbs 27:3-6
2019-10-13,Cause and Effect of Thankfulness,Proverbs 27:7-10
2019-10-20,The Disciple's Son and Wife,Proverbs 27:11; 14-17
2019-10-27,Blind Eyes Wise Soul,Proverbs 27:20;22
2019-11-03,How to be Bold as a Lion,Proverb 28:1
2019-11-10,Law for Peace with God and with One Another,Proverbs 28:2-9
2019-11-17,Proverbs for a Disciple-Making Church,Proverbs 28:10-18
2019-11-24,Serve the LORD Without Depending on Man or Money,Proverbs 28:20-23
2019-12-01,Destroyed by One's Own Sin,Proverbs 29:1;6;16;18
2019-12-08,The Wise and the Foolish in the Church,Proverbs 29:8;11;15;22
2019-12-15,Safe Life,Proverbs 29:25-27
2019-12-22,The Knowledge of the Most Ignorant Man,Proverbs 30:1-9
2019-12-29,Ever Satisfied,Proverbs 30:15-16
2018-04-05,Love as Content,Philippians 1:9-11
2018-04-22,Chained for the Gospel,Philippians 1:12-19
2018-04-29,When Dying is Gain,Philippians 1:20-26
2018-05-06,If You're Not Gonna Die Tonight,Philippians 1:27-30
2018-05-13,Pride Humility and Unity,Philippians 2:1-11
2018-05-21,Work Out Your Salvation,Philippains 2:12-18
2018-05-27,Examples to Follow in Serving the Lord,Philippians 2:19-30
2018-06-03,What Changes my Life?,Philippains 3:1-11
2018-06-10,After Setting the Target Right,Philippians 3:12-16
2018-06-17,What to Imitate?,Philippians 3:17-21
2018-06-24,Words to individuals and the church for unity (part1) ,Philippians 4:1-9
2018-07-09,Words to individuals and the church for unity (part2),Philippians 4:1-9
2018-07-15,Full contentment in any circumstance ,Philippians 4: 10 - 13
2018-07-22,Partnering with someone who doesn't need you ,Philippians 4: 14 - 23 
2018-07-29,Get Wisdom ,Proverbs 1: 1 - 7 
2018-08-05,Listen and get the chain of honour ,Proverbs 1:8-9; 18-19; 30-33 
2018-08-12,Is wisdom for you? ,Proverbs 2: 1- 12 
2018-08-19,Drama Toronto and fairy tale (Minku Kang) ,
2018-08-19,Emotional maturity (Hanji Lee) ,
2018-09-02,How to live a life of dignity,Proverbs 3:1-6
2018-09-16,Sound judgement for a better life ,Proverbs 2: 21 - 26
2018-09-24,Get wisdom at all costs ,Proverbs 3:34-35; 4:5;7;13;19
2018-09-30,How to guard the heart ,Proverbs 4:23 
2018-10-07,Wise enough to give thanks ,Psalm 107:1; 8; 15; 21; 31; 43
2018-10-14,Discipline and adultery ,Proverbs 5: 7 - 14
2018-10-21,Wisdom in two areas ,Proverbs 6: 1 - 11 
2018-10-28,How are the conditions of your life? ,Proverbs 6: 27 - 28 
2018-11-04,Warning against our usual choices ,Proverbs 7: 1 - 27 
2018-11-11,The best operating system for our life ,Proverbs 8: 22 - 36 
2018-11-18,Two invitations ,Proverbs 9: 1 - 18 
2018-11-25,Wisdom and words ,Proverbs 10: 14;20;31
2019-12-02,Expectations of the fool,Proverbs 11: 2 - 7
2018-12-09,Use of words and protection from them ,Proverbs 11: 9 -14
2018-12-16,How to protect yourself ,Proverbs 11: 15 - 23 
2018-12-23,A noble financial life,Proverbs 11: 24-31
2018-12-30,A LIFE OF INTEGRITY IN THE WORLD OF DISUNITY,Proverbs 12: 1-9 
